RHEA_ID	DIRECTION	MASTER_ID	ID
18114	LR	18113	R-HSA-6806877.4
18134	LR	18133	R-HSA-174392.4
18146	LR	18145	R-HSA-70333.8
18159	RL	18157	R-HSA-71670.8
18163	RL	18161	R-HSA-77304.3
18170	LR	18169	R-HSA-6784423.3
18246	LR	18245	R-HSA-196773.4
18246	LR	18245	R-HSA-9837337.1
18254	LR	18253	R-HSA-9012036.4
18254	LR	18253	R-HSA-9012349.4
18258	LR	18257	R-HSA-189421.3
18447	RL	18445	R-HSA-73797.3
18494	LR	18493	R-HSA-159566.3
18534	LR	18533	R-HSA-209859.2
18561	UN	18561	R-HSA-194698.2
18563	RL	18561	R-HSA-194674.2
18586	LR	18585	R-HSA-70481.5
18587	RL	18585	R-HSA-70454.4
18630	LR	18629	R-HSA-197198.3
18630	LR	18629	R-HSA-8955030.2
18634	LR	18633	R-HSA-73577.5
18738	LR	18737	R-HSA-8959510.2
18782	LR	18781	R-HSA-977317.4
18794	LR	18793	R-HSA-6787329.3
18822	LR	18821	R-HSA-264622.3
18966	LR	18965	R-HSA-189488.3
19014	LR	19013	R-HSA-8851234.5
19050	LR	19049	R-HSA-6788611.3
19071	RL	19069	R-HSA-5694071.3
19130	LR	19129	R-HSA-73632.4
19170	LR	19169	R-HSA-9034539.3
19261	UN	19261	R-HSA-382560.2
19261	UN	19261	R-HSA-917979.4
19298	LR	19297	R-HSA-6786245.3
19302	LR	19301	R-HSA-175993.3
19362	LR	19361	R-HSA-191303.3
19362	LR	19361	R-HSA-9717830.2
19375	RL	19373	R-HSA-70938.6
19454	LR	19453	R-HSA-507775.4
19454	LR	19453	R-HSA-70523.5
19455	RL	19453	R-HSA-507749.4
19455	RL	19453	R-HSA-70524.5
19514	LR	19513	R-HSA-70560.4
19630	LR	19629	R-HSA-389540.5
19630	LR	19629	R-HSA-389550.3
19630	LR	19629	R-HSA-450984.6
19670	LR	19669	R-HSA-8851234.5
19714	LR	19713	R-HSA-548843.3
19742	LR	19741	R-HSA-389580.2
19798	LR	19797	R-HSA-1855174.3
19798	LR	19797	R-HSA-1855222.3
19802	LR	19801	R-HSA-196754.4
19866	LR	19865	R-HSA-189425.3
19877	UN	19877	R-HSA-1675780.2
19877	UN	19877	R-HSA-1675813.2
19877	UN	19877	R-HSA-1675883.2
19877	UN	19877	R-HSA-1675974.2
19877	UN	19877	R-HSA-1676185.2
19890	LR	19889	R-HSA-70286.6
19938	LR	19937	R-HSA-6798317.2
19974	LR	19973	R-HSA-351210.2
19986	LR	19985	R-HSA-5692237.2
19990	LR	19989	R-HSA-1237096.2
19991	RL	19989	R-HSA-1299507.2
20014	LR	20013	R-HSA-73573.5
20290	LR	20289	R-HSA-390304.3
20306	LR	20305	R-HSA-9856794.1
20310	LR	20309	R-HSA-1222704.2
20310	LR	20309	R-HSA-76031.3
20314	LR	20313	R-HSA-1855176.3
20314	LR	20313	R-HSA-1855179.3
20434	LR	20433	R-HSA-5662471.3
20442	LR	20441	R-HSA-1614645.4
20522	LR	20521	R-HSA-5696457.2
20522	LR	20521	R-HSA-73920.3
20523	RL	20521	R-HSA-73912.3
20546	LR	20545	R-HSA-71200.3
20555	RL	20553	R-HSA-71020.3
20570	LR	20569	R-HSA-452036.4
20570	LR	20569	R-HSA-70569.4
20697	LR	20696	R-HSA-1222462.2
20697	LR	20696	R-HSA-1222469.2
20697	LR	20696	R-HSA-3299680.2
20697	LR	20696	R-HSA-3299682.2
20697	LR	20696	R-HSA-3299691.2
20697	LR	20696	R-HSA-3777112.3
20781	LR	20780	R-HSA-73788.6
20782	RL	20780	R-HSA-110133.6
20825	LR	20824	R-HSA-109624.5
20841	LR	20840	R-HSA-977301.3
20845	LR	20844	R-HSA-70501.8
20852	UN	20852	R-HSA-374916.4
20941	LR	20940	R-HSA-1855197.3
20941	LR	20940	R-HSA-2267372.4
20965	LR	20964	R-HSA-893583.2
21017	LR	21016	R-HSA-6797627.3
21037	LR	21036	R-HSA-73916.5
21037	LR	21036	R-HSA-8848215.4
21038	RL	21036	R-HSA-74181.4
21081	LR	21080	R-HSA-174391.2
21081	LR	21080	R-HSA-5603114.2
21133	LR	21132	R-HSA-74258.5
21137	LR	21136	R-HSA-390291.3
21162	RL	21160	R-HSA-75848.7
21209	LR	21208	R-HSA-977324.3
21233	LR	21232	R-HSA-70899.6
21285	LR	21284	R-HSA-5362518.2
21285	LR	21284	R-HSA-5362564.2
21292	UN	21292	R-HSA-109699.5
21292	UN	21292	R-HSA-1226014.2
21292	UN	21292	R-HSA-1250370.4
21292	UN	21292	R-HSA-1250462.3
21292	UN	21292	R-HSA-1306957.3
21292	UN	21292	R-HSA-1306979.3
21292	UN	21292	R-HSA-1433514.4
21292	UN	21292	R-HSA-1676048.3
21292	UN	21292	R-HSA-177939.3
21292	UN	21292	R-HSA-1839091.3
21292	UN	21292	R-HSA-1839107.3
21292	UN	21292	R-HSA-186800.2
21292	UN	21292	R-HSA-198266.6
21292	UN	21292	R-HSA-201510.2
21292	UN	21292	R-HSA-202365.3
21292	UN	21292	R-HSA-2029271.2
21292	UN	21292	R-HSA-2316434.9
21292	UN	21292	R-HSA-2394007.2
21292	UN	21292	R-HSA-2424480.2
21292	UN	21292	R-HSA-2730870.2
21292	UN	21292	R-HSA-389158.2
21292	UN	21292	R-HSA-392300.2
21292	UN	21292	R-HSA-437162.2
21292	UN	21292	R-HSA-5218819.2
21292	UN	21292	R-HSA-5637801.3
21292	UN	21292	R-HSA-5654690.3
21292	UN	21292	R-HSA-5654692.3
21292	UN	21292	R-HSA-5654697.3
21292	UN	21292	R-HSA-5654701.2
21292	UN	21292	R-HSA-5654705.2
21292	UN	21292	R-HSA-5654709.3
21292	UN	21292	R-HSA-5654714.3
21292	UN	21292	R-HSA-5654717.2
21292	UN	21292	R-HSA-5655235.2
21292	UN	21292	R-HSA-5655289.3
21292	UN	21292	R-HSA-5655290.2
21292	UN	21292	R-HSA-5655323.2
21292	UN	21292	R-HSA-8852019.2
21292	UN	21292	R-HSA-9021627.2
21292	UN	21292	R-HSA-9028519.2
21292	UN	21292	R-HSA-9603445.3
21292	UN	21292	R-HSA-9664664.2
21292	UN	21292	R-HSA-9664940.2
21292	UN	21292	R-HSA-9665407.2
21292	UN	21292	R-HSA-9670433.2
21292	UN	21292	R-HSA-9672162.2
21292	UN	21292	R-HSA-9672177.2
21292	UN	21292	R-HSA-9680389.2
21292	UN	21292	R-HSA-9712084.2
21292	UN	21292	R-HSA-9860816.1
21361	LR	21360	R-HSA-8939959.4
21377	LR	21376	R-HSA-9856718.1
21381	LR	21380	R-HSA-389622.3
21433	LR	21432	R-HSA-70979.5
21434	RL	21432	R-HSA-9856871.1
21538	RL	21536	R-HSA-70785.7
21645	LR	21644	R-HSA-75887.3
21701	LR	21700	R-HSA-1237129.2
21709	LR	21708	R-HSA-174401.3
21825	LR	21824	R-HSA-70592.9
21825	LR	21824	R-HSA-70596.5
21826	RL	21824	R-HSA-70581.4
21826	RL	21824	R-HSA-70613.8
21845	LR	21844	R-HSA-177160.3
22044	UN	22044	R-HSA-937311.3
22044	UN	22044	R-HSA-9727198.2
22122	RL	22120	R-HSA-71775.6
22157	LR	22156	R-HSA-8851396.5
22170	RL	22168	R-HSA-70369.4
22233	LR	22232	R-HSA-191402.2
22325	LR	22324	R-HSA-266072.3
22337	LR	22336	R-HSA-1614654.4
22385	LR	22384	R-HSA-1855198.3
22409	LR	22408	R-HSA-191322.3
22409	LR	22408	R-HSA-9717834.2
22485	LR	22484	R-HSA-5696197.2
22629	LR	22628	R-HSA-73805.4
22673	LR	22672	R-HSA-191405.3
22764	UN	22764	R-HSA-1675824.2
22764	UN	22764	R-HSA-1676177.3
22861	LR	22860	R-HSA-197235.7
22861	LR	22860	R-HSA-200474.6
22861	LR	22860	R-HSA-200512.6
22889	LR	22888	R-HSA-71010.3
22925	LR	22924	R-HSA-73596.6
22965	LR	22964	R-HSA-70692.2
23033	LR	23032	R-HSA-73810.4
23101	LR	23100	R-HSA-110138.6
23101	LR	23100	R-HSA-6788810.2
23102	RL	23100	R-HSA-110137.6
23177	LR	23176	R-HSA-449911.3
23177	LR	23176	R-HSA-71735.2
23177	LR	23176	R-HSA-8875071.2
23285	LR	23284	R-HSA-191382.2
23353	LR	23352	R-HSA-916855.4
23445	LR	23444	R-HSA-70510.8
23446	RL	23444	R-HSA-6807826.5
23446	RL	23444	R-HSA-71849.9
23453	LR	23452	R-HSA-109624.5
23517	LR	23516	R-HSA-6799495.3
23533	LR	23532	R-HSA-159425.2
23537	LR	23536	R-HSA-9638125.4
23538	RL	23536	R-HSA-9638127.4
23581	LR	23580	R-HSA-76496.4
23597	LR	23596	R-HSA-173597.3
23633	LR	23632	R-HSA-70967.6
23661	LR	23660	R-HSA-70906.4
23681	LR	23680	R-HSA-8850846.7
23681	LR	23680	R-HSA-8851110.4
23725	LR	23724	R-HSA-3204311.2
